KIND_REZ;DESC_KIND 
ѕокупатель;≈сли покупателем по контракту (сделке), а дл€ опционов - покупателем опционного контракта, €вл€етс€: "клиент-резидент, действующий в собственных интересах", "клиент-резидент, действующий в интересах резидента-выгодоприобретател€", "контрагент-резидент"
ѕродавец;≈сли продавцом по контракту (сделке), а дл€ опционов - продавцом опционного контракта, €вл€етс€: "клиент-резидент, действующий в собственных интересах", "клиент-резидент, действующий в интересах резидента-выгодоприобретател€, "контрагент-резидент"
